industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Industrials,F,Ford Motor,53419077632,35.37,,7.3457212,1.019,0.03292129145536797,25.45985641784365,-0.04369,-0.0669,-0.048,53419.1,False
Industrials,GM,General Motors,72539299840,9.998,23.779818,5.6057873,0.953,0.11799983229614806,5.894208698743365,0.014579999,0.065359995,-0.051,72539.3,False
Industrials,GE,GE Aerospace,364691357696,34.794,42.89578,40.41559,8.121,0.01428879434084038,0.8936746781618476,0.18982,0.19549,0.176,364691.4,False
Industrials,CAT,Caterpillar,352070402048,27.56,39.995747,27.318478,5.693,0.01658404164063745,2.4872861095327203,0.13144,0.16025,0.18,352070.4,False
Industrials,DE,Deere & Company,171015454720,26.591,34.13853,27.320852,4.887,0.02456064639816899,6.742547592210971,0.10302,0.092709996,0.13,171015.5,False
Industrials,FDX,FedEx,91373748224,,21.418695,17.87116,,0.05080370336368352,0.0,0.04814,0.0764,0.139,91373.7,False
Industrials,UPS,UPS,97154211840,9.817,17.442074,14.367658,1.352,0.05338805988712141,1.8590730871210868,0.06285,0.107480004,-0.032,97154.2,False
Industrials,HON,Honeywell,167146635264,21.426,32.766182,21.554413,4.846,0.02788569560277523,2.6727681412646014,0.1263,0.15413,-0.033,167146.6,False
Industrials,LMT,Lockheed Martin,156586885120,21.043,31.445168,21.149023,2.323,0.03372967719456479,2.251055996113126,0.06685,0.090100005,0.091,156586.9,False
Industrials,RTX,RTX Corporation,284779741184,21.662,42.774193,28.251762,3.603,0.022671029298493992,2.2070581573642385,0.07598,0.110240005,0.121,284779.7,False
Industrials,MMM,3M,85040988160,15.007,26.865225,17.178461,3.619,0.014819324319572912,0.8641954893617021,0.13027,0.12408,0.02,85041.0,False
Industrials,GD,General Dynamics,98632777728,16.699,23.579832,20.186045,2.016,0.03403787387250009,1.1752836923076924,0.08011,0.1014,0.078,98632.8,False
Industrials,NOC,Northrop Grumman,109611868160,17.959,26.383373,25.569788,2.919,0.026455849359004302,1.9766863568961448,0.09968001,0.16530001,0.096,109611.9,False
Industrials,NUE,Nucor,41325010944,11.323,24.043941,13.243649,1.442,-0.021860247713525686,1.0992992997450701,0.05367,0.06869,0.086,41325.0,False
Industrials,TSLA,Tesla,1513430843392,141.371,370.01834,143.62276,15.658,0.002466333306406124,-2.7934876798264106,0.040009998,0.047030002,-0.031,1513430.8,True
Industrials,BA,Boeing,180425637888,-64.281,92.6371,48.8424,2.327,0.009764410627128357,,0.02498,-0.03178,0.571,180425.6,False
Industrials,DAL,Delta Air Lines,41963646976,7.566,8.387729,7.7103734,0.928,0.07040618032292924,2.1955736507891337,0.078990005,0.08930001,0.029,41963.6,False
Industrials,UAL,United Airlines,33412997120,6.728,10.118628,6.759084,0.883,0.03289139432936928,2.4237267210000684,0.056760002,0.09139,0.048,33413.0,False
Industrials,AAL,American Airlines,8267013632,9.906,73.647064,4.5898466,0.708,-0.08549036537986442,7.788732669520843,0.0020299999,0.03622,0.025,8267.0,False
